475	1070	149	413	0.998	Unit 30
1519	1674	962	1987	0.998	True or False
1545	1670	2387	2809	0.996	Track30
1816	1949	769	4365	0.986	Listen and mark the sentences as T (True) or F (False).
2065	2211	756	923	1.000	1.
2051	2234	1463	4704	0.988	Vets examine sick animals to find out what is wrong.
2282	2433	751	914	1.000	2.
2278	2425	1463	3182	0.997	Vets feed and train animals.
2487	2656	1455	4391	0.989	Vets can fix broken bones and take out tumors.
2496	2651	756	914	1.000	3.
2713	2869	751	914	0.999	4.
2713	2873	1459	5697	0.995	Large-animal vets usually drive to the places where their patients live.
2926	3082	1472	3675	0.997	Sick animals never bite or kick vets.
2931	3082	756	914	1.000	5.
4699	4850	962	1648	1.000	Dictation
4712	4845	2013	2444	0.995	Track30
4978	5147	760	2958	0.994	Listen and complete the passage.
5343	5529	1033	1463	0.975	If you
5343	5516	3327	3609	1.000	and
5378	5534	4510	4862	0.876	,you
5591	5751	1723	2088	0.981	to be
5600	5760	4031	4888	0.999	Veterinarians
5831	6013	3121	4088	0.979	 They take care
6089	6222	1749	2580	0.999	animals. Like
6084	6258	3754	4602	1.000	, vets perform
6320	6493	742	1015	1.000	and
6564	6724	1055	1433	1.000	When
6560	6737	2971	3429	0.992	is sick,
6795	7008	2193	2593	1.000	They
6817	6968	751	1433	0.972	to find out
6817	6968	4167	4866	0.998	clues in the
6857	6973	5614	5798	1.000	an
7066	7213	3125	3952	0.999	and acts. For
7053	7235	5209	5798	0.972	, if a dog
7310	7461	2360	2633	0.995	in a
7310	7475	4369	4937	0.986	, it might
8416	8567	351	953	0.929	96  Unit 30
