604	821	1749	4721	0.965	Unit 13  Leonardo da Vinci
1274	1456	4150	4800	1.000	inventor
1336	1514	4950	5477	1.000	human
1434	1612	4119	4778	0.957	 examine
1492	1665	4932	5446	0.965	lifelike
1523	1674	984	1877	0.993	New Words
1572	1847	4106	5530	0.968	 parachute combine
1789	1945	764	1925	0.998	Fill in the blanks.
2029	2189	760	4378	0.995	1. If you want to become a doctor, you must study how the
2229	2380	918	1683	0.966	body works.
2429	2580	756	1318	0.963	2. Please
2416	2607	2483	5679	0.988	this painting and tell me if there is something wrong
2624	2780	910	1371	0.994	with it.
2815	2998	751	2184	0.986	3. She has made a very
2833	2993	3349	4818	0.987	sculpture of her mother.
3020	3197	747	1310	0.986	4. If you
3038	3184	2483	5640	0.988	red and blue paint, you will get a new color: purple.
3237	3384	764	3389	0.981	5. Don't jump out of an airplane without a
3246	3348	4519	4611	0.565	!
3415	3593	2910	3723	0.995	of the radio?
3433	3579	760	1740	0.997	6. Who was the
3810	3984	980	3099	1.000	Understanding the Context
3828	3952	3495	3921	0.994	Track13
4077	4250	760	2941	0.987	Listen and answer the questions.
4321	4472	764	3037	0.990	1. The talk is mainly about da Vinci's
4521	4690	3244	3921	0.979	(b) Talents
4534	4699	918	1705	0.982	(a)Paintings
4716	4890	910	1789	0.989	(c)Inventions
4730	4894	3244	4242	0.998	(d) Experiments
4983	5143	756	3815	1.000	2. In addition to being an artist, da Vinci was also
5178	5347	914	2470	0.970	(a)  A singer and inventor
5187	5347	3253	4813	0.998	(b) A scientist and soldier
5369	5547	3244	4835	0.999	(d) A doctor and inventor
5383	5538	914	2668	0.984	(c) An inventor and scientist
5769	5925	975	2268	0.999	Focus on Details
5805	5929	2655	3086	0.995	Track13
6049	6200	760	3116	0.991	Listen and write the missing words.
6284	6435	764	2246	0.991	1. He was a scientist, an
6480	6626	910	1745	1.000	and an artist.
6675	6848	756	2655	0.995	2. This made his paintings very
7062	7257	751	3565	0.989	3. For example, he studied the inner workings
7261	7457	2330	2708	1.000	body.
7275	7430	910	1296	0.999	of the
7479	7634	756	3622	0.984	4. He believed that by understanding how each
7679	7843	910	4475	0.992	part of a machine worked, the parts could be changed and
7688	7830	5530	5675	1.000	in
7883	8034	923	3248	0.995	different ways to make new machines.
8407	8567	347	949	0.998	44Unit 13
