413	994	6163	6488	0.989	Unit 33
1519	1692	1019	1784	1.000	Summary
1541	1665	2176	2598	0.995	Track33
1807	1958	826	3530	0.989	Listen and order the sentences from 1-5.
2069	2211	822	993	1.000	1.
2056	2229	1538	5759	0.999	When I ski, it feels really easy to control where I go and how I move.
2269	2456	1516	5789	0.991	 If you fall while on skis, it is very easy to break your bones by getting
2282	2429	813	989	0.999	2.
2491	2664	1534	3468	0.972	your skis get stuck in the snow.
2709	2882	1525	5737	0.982	 The feeling I get while I'm snowboarding is more exciting than when
2718	2860	826	967	1.000	3.
2931	3086	1538	4264	0.982	I'm skiing, because I like having less control.
3149	3308	1512	5319	0.989	 I am 16 years old, and I have been sking since I was five, and
3162	3282	830	958	1.000	4.
3375	3522	1547	3477	0.999	snowboarding since I was eight.
3557	3757	1521	3987	0.981	 Snowboarding is more fun and exciting,
3593	3717	835	958	1.000	5.
3788	3966	1538	3631	0.983	and maybe even safer, than skiing.
4694	4845	1019	1714	1.000	Dictation
4708	4832	2088	2510	0.995	Track33
4983	5147	826	3024	0.987	Listen and complete the passage.
5343	5534	1107	1371	1.000	My
5352	5507	2585	3793	0.999	Michael Bryce, and
5583	5769	4576	5024	0.895	, and I
5596	5751	813	1077	1.000	and
5591	5756	2466	3059	0.906	. 1 am 16
5840	5996	3231	3670	0.983	since I
5836	6018	5499	5864	0.974	, and
6080	6249	2316	3701	0.990	since I was eight. Both
6071	6258	5143	5829	0.998	like skiing,
6302	6520	804	1332	1.000	and my
6324	6489	3319	3644	0.999	likes
6564	6755	1099	1503	1.000	In my
6586	6733	2721	3798	0.990	, snowboarding is
6808	6977	3613	4101	0.995	, it feels
6822	6982	1806	3042	0.975	than skiing. When I
6848	6973	5688	5842	0.997	to
7062	7213	5306	5829	0.958	. The ski
7070	7208	3622	4286	0.942	and how 1
7284	7497	800	1169	1.000	poles
7310	7479	4374	5002	0.973	to change
8412	8576	5688	6357	0.973	Unit 33 105
