413	990	6163	6488	0.990	Unit 29
1523	1687	1024	1789	1.000	Summary
1536	1661	2167	2589	0.996	Track29
1807	1958	826	3530	0.994	Listen and order the sentences from 1-5.
2069	2211	822	993	1.000	1.
2065	2225	1529	4923	0.999	Talking is still sometimes the best way to communicate.
2278	2438	808	1006	0.997	2.
2274	2456	1516	6066	0.996	 If people are telling a lie, they may not look directly at the person they are
2491	2669	1543	2202	1.000	talking to.
2713	2869	817	980	0.999	3.
2713	2873	1543	6119	0.985	Only a small amount of communication is through the words of a conversation.
2926	3082	817	984	1.000	4.
2922	3095	1516	5869	0.989	 If the arms are crossed in front of the body, the person might be feeling
3144	3304	1547	2787	0.982	unfriendly or afraid.
3366	3526	1521	6009	0.980	 If we can understand body language, we can learn a lot more about what
3371	3508	826	967	1.000	5.
3584	3748	1560	3081	0.980	other people really think.
4699	4850	1019	1714	1.000	Dictation
4708	4832	2092	2514	0.996	Track29
4983	5147	830	3024	0.995	Listen and complete the passage.
5343	5507	1107	1384	1.000	Did
5347	5507	2791	3112	0.999	that
5334	5534	5328	5864	0.999	the only
5596	5747	5235	5855	0.969	? Most of
5627	5747	2475	3077	0.994	we use to
5845	6009	2558	3569	0.996	are sent through
6058	6258	4383	4888	0.940	 is done
6071	6267	813	1160	1.000	Only
6080	6258	2105	2796	0.974	10 percent
6324	6489	1415	2224	0.991	actual words
6329	6480	4158	4787	0.963	. Isn't that
6564	6733	804	1165	0.990	If we
6551	6755	2646	3015	1.000	body
6555	6746	4383	4945	1.000	well, we
6822	6973	2602	3332	1.000	more about
7062	7230	822	1815	0.989	really think. We
7057	7235	3081	3662	1.000	use body
7066	7217	4813	5288	0.999	to send
7315	7475	2708	3943	0.989	to others. Have you
8425	8563	5701	6277	0.967	Unit 29 93
