470	1070	149	417	1.000	Unit 18
1523	1692	958	1710	1.000	Summary
1550	1670	2136	2563	0.995	Track18
1807	1958	760	3468	0.984	Listen and order the sentences from 1-5.
2069	2203	760	918	1.000	1.
2065	2220	1472	5671	0.990	By learning to take care of their pets, children learn how to take care
2265	2451	1477	3385	0.979	of themselves and other people.
2496	2651	751	905	1.000	2.
2496	2656	1459	3367	0.989	Pets can also help keep us safe.
2700	2878	1441	5130	0.993	 If we can love our pets, it becomes easier to love each other.
2713	2869	756	918	0.999	3.
2926	3077	751	914	1.000	4.
2922	3091	1455	5794	0.994	 Studies have shown that having a pet nearby lowers the blood pressure
3135	3326	1472	3908	0.989	of elderly people and raises their spirits.
3366	3508	760	892	1.000	5.
3357	3522	1463	5728	0.978	 Sometimes we prefer the company of animals to that of fellow human
3562	3761	1463	1929	1.000	beings.
4694	4845	962	1644	1.000	Dictation
4703	4827	2035	2457	0.995	Track18
4978	5147	760	2958	0.996	Listen and complete the passage.
5334	5534	1041	1393	1.000	Why
5352	5498	3987	4835	0.962	called “man's
5551	5747	1925	2690	0.970	?" Probably
5600	5747	5425	5789	1.000	many
5782	5951	747	932	0.664	J0
5800	5956	4066	4497	0.998	in our
6004	6204	2184	2782	1.000	They are
6040	6195	4932	5759	0.988	, never argue,
6235	6404	742	1015	1.000	and
6235	6400	3736	4638	0.989	to see us. This
6444	6640	4286	4585	1.000	and
6462	6631	2092	2606	0.999	why we
6666	6871	4572	5002	0.999	prefer
6684	6831	1582	2294	0.945	 Sometimes
6906	7057	3477	4097	0.992	to that of
7106	7319	1762	2228	1.000	beings.
7350	7510	1037	1332	1.000	Pets
7355	7501	2835	3134	0.999	with
8416	8567	351	953	0.956	60 Unit 18
