604	817	1380	5126	0.992	Unit 19 The Active Leisure Center
1288	1443	4172	4664	0.999	center
1354	1527	5051	5627	0.968	 aerobics
1439	1612	4163	4673	0.970	 expert
1523	1674	984	1877	0.993	New Words
1510	1683	5029	5556	1.000	serious
1576	1852	4163	5622	0.962	kindergarten discount
1789	1945	764	1925	0.998	Fill in the blanks.
2025	2176	3754	4281	0.999	located?
2038	2171	764	2400	0.989	1. Where is the new fitness
2220	2398	3138	5130	0.999	about taking swimming lessons?
2238	2385	760	1793	0.996	2. Are you really
2420	2593	751	2818	0.982	3. Mila's little daughter will go to
2456	2589	4167	4774	0.999	next year.
2638	2784	760	1846	0.991	4. Mr. Jones is an
2638	2784	3200	4787	0.998	on environmental science.
2815	3006	2242	5341	0.996	classes use music to help people do active exercise.
2838	2966	760	914	1.000	5.
3029	3180	760	2637	0.982	6. Last week, there was a 50%
3042	3175	3754	5794	0.999	on every item in that music store.
3411	3584	975	3103	0.999	Understanding the Context
3446	3570	3486	3912	0.994	Track19
3686	3841	760	2941	0.993	Listen and answer the questions.
3917	4081	756	4580	0.998	1. What is NOT something that the Active Leisure Center has?
4121	4294	910	2760	0.957	(a)  An indoor swimming pool
4117	4290	3310	4325	0.999	(b) A sports hall
4308	4485	910	1806	0.936	(c)  A cafeteria
4326	4485	3310	4484	0.943	(d) A fitness center
4592	4739	760	3086	0.998	2. What can you do in the sports hall?
4787	4947	914	2000	0.992	(a) Go swimming
4796	4947	3319	4211	0.996	(b) Play sports
4974	5147	914	2422	0.979	(c) Take aerobics classes
4983	5143	3310	4937	0.991	(d) Talk to a fitness expert
5369	5525	975	2264	0.999	Focus on Details
5392	5516	2664	3086	0.996	Track19
5649	5805	760	3116	0.981	Listen and write the missing words.
5871	6027	756	1178	0.968	1. The
5876	6031	2189	3495	0.999	has a heated outdoor
6071	6244	901	3371	0.996	swimming pool with five different water
6284	6431	914	3121	1.000	slides for those who want some fun.
6480	6644	751	3503	1.000	2. We have running machines, exercise bikes,
6684	6844	918	3596	0.998	weight machines and free weights, and daily
6879	7035	1907	3301	1.000	and jazz dance classes.
7066	7257	2598	3644	0.976	 will be happy to
7084	7230	760	1609	0.998	3. Our fitness
7275	7457	901	4211	0.990	provide you with a fitness program to suit your needs.
7479	7648	751	3143	1.000	4. We have programs for all ages, from
7483	7639	4158	5614	0.973	to high school students,
7688	7848	914	4325	0.998	and if you join now, you can even get a family discount.
8416	8567	351	949	0.951	62 Unit 19
